timestamp,position.x,position.y,position.z,velocity.x,velocity.y,velocity.z,heading
0,-6.5,-18.5,-0.2,0.0,0.0,0.0,-1.570494235572534
10000000,-6.5,-18.5,-0.2,0.0,0.0,0.0,-1.570494235572534
20000000,-6.5,-18.5,-0.2,0.0,0.0,0.0,-1.570494235572534
30000000,-6.5,-18.5,-0.2,0.0,0.0,0.0,-1.570494235572534
40000000,-6.501599630173471,-18.538224559047066,-0.2,0.0,0.0,0.0,-1.570494235572534
50000000,-6.501599630173471,-18.538224559047066,-0.2,0.0,0.0,0.0,-1.570494235572534
60000000,-6.501599630173471,-18.538224559047066,-0.2,0.0,0.0,0.0,-1.570494235572534
70000000,-6.503002835496125,-18.57376720633838,-0.2,0.0,0.0,0.0,-1.570494235572534
80000000,-6.503002835496125,-18.57376720633838,-0.2,0.0,0.0,0.0,-1.570494235572534
90000000,-6.503002835496125,-18.57376720633838,-0.2,0.0,0.0,0.0,-1.570494235572534
99999999,-6.492307149641641,-18.610119973952102,-0.2,0.0,0.0,0.0,-1.570494235572534
109999999,-6.492307149641641,-18.610119973952102,-0.2,0.0,0.0,0.0,-1.570494235572534
119999999,-6.492307149641641,-18.610119973952102,-0.2,0.0,0.0,0.0,-1.570494235572534
129999999,-6.492307149641641,-18.610119973952102,-0.2,0.0,0.0,0.0,-1.570494235572534
140000000,-6.484633716237442,-18.641902357321307,-0.2,0.0,0.0,0.0,-1.570494235572534
150000000,-6.484633716237442,-18.641902357321307,-0.2,0.0,0.0,0.0,-1.570494235572534
160000000,-6.484633716237442,-18.641902357321307,-0.2,0.0,0.0,0.0,-1.570494235572534
170000000,-6.480413499145775,-18.684770181920594,-0.2,0.0,0.0,0.0,-1.570494235572534
180000000,-6.480413499145775,-18.684770181920594,-0.2,0.0,0.0,0.0,-1.570494235572534
190000000,-6.480413499145775,-18.684770181920594,-0.2,0.0,0.0,0.0,-1.570494235572534
200000000,-6.480838036101186,-18.71927758886636,-0.2,0.0,0.0,0.0,-1.570494235572534
210000000,-6.480838036101186,-18.71927758886636,-0.2,0.0,0.0,0.0,-1.570494235572534
220000000,-6.480838036101186,-18.71927758886636,-0.2,0.0,0.0,0.0,-1.570494235572534
230000000,-6.480838036101186,-18.71927758886636,-0.2,0.0,0.0,0.0,-1.570494235572534
240000000,-6.469142001624292,-18.75421948061257,-0.2,0.0,0.0,0.0,-1.570494235572534
250000000,-6.469142001624292,-18.75421948061257,-0.2,0.0,0.0,0.0,-1.570494235572534
260000000,-6.469142001624292,-18.75421948061257,-0.2,0.0,0.0,0.0,-1.570494235572534
270000000,-6.472188953843723,-18.778564778746315,-0.2,0.0,0.0,0.0,-1.570494235572534
280000000,-6.472188953843723,-18.778564778746315,-0.2,0.0,0.0,0.0,-1.570494235572534
290000000,-6.472188953843723,-18.778564778746315,-0.2,0.0,0.0,0.0,-1.570494235572534
300000000,-6.458607742403462,-18.807580036300205,-0.2,0.0,0.0,0.0,-1.570494235572534
310000000,-6.458607742403462,-18.807580036300205,-0.2,0.0,0.0,0.0,-1.570494235572534
320000000,-6.458607742403462,-18.807580036300205,-0.2,0.0,0.0,0.0,-1.570494235572534
330000000,-6.458607742403462,-18.807580036300205,-0.2,0.0,0.0,0.0,-1.570494235572534
340000000,-6.447718366322145,-18.851987395917188,-0.2,0.0,0.0,0.0,-1.570494235572534
350000000,-6.447718366322145,-18.851987395917188,-0.2,0.0,0.0,0.0,-1.570494235572534
360000000,-6.447718366322145,-18.851987395917188,-0.2,0.0,0.0,0.0,-1.570494235572534
370000000,-6.429521829612918,-18.890408335345068,-0.2,0.0,0.0,0.0,-1.570494235572534
380000000,-6.429521829612918,-18.890408335345068,-0.2,0.0,0.0,0.0,-1.570494235572534
390000000,-6.429521829612918,-18.890408335345068,-0.2,0.0,0.0,0.0,-1.570494235572534
400000000,-6.420111663593024,-18.920658070745475,-0.2,0.0,0.0,0.0,-1.570494235572534
410000000,-6.420111663593024,-18.920658070745475,-0.2,0.0,0.0,0.0,-1.570494235572534
420000000,-6.420111663593024,-18.920658070745475,-0.2,0.0,0.0,0.0,-1.570494235572534
430000000,-6.420111663593024,-18.920658070745475,-0.2,0.0,0.0,0.0,-1.570494235572534
440000000,-6.404998866913949,-18.9447184413003,-0.2,0.0,0.0,0.0,-1.570494235572534
450000000,-6.404998866913949,-18.9447184413003,-0.2,0.0,0.0,0.0,-1.570494235572534
460000000,-6.404998866913949,-18.9447184413003,-0.2,0.0,0.0,0.0,-1.570494235572534
470000000,-6.389991566778556,-18.96420073860066,-0.2,0.0,0.0,0.0,-1.570494235572534
480000000,-6.389991566778556,-18.96420073860066,-0.2,0.0,0.0,0.0,-1.570494235572534
490000000,-6.389991566778556,-18.96420073860066,-0.2,0.0,0.0,0.0,-1.570494235572534
500000000,-6.372897008306371,-18.988151885109374,-0.2,0.0,0.0,0.0,-1.570494235572534
510000000,-6.372897008306371,-18.988151885109374,-0.2,0.0,0.0,0.0,-1.570494235572534
520000000,-6.372897008306371,-18.988151885109374,-0.2,0.0,0.0,0.0,-1.570494235572534
530000000,-6.372897008306371,-18.988151885109374,-0.2,0.0,0.0,0.0,-1.570494235572534
540000000,-6.35011836678195,-19.020837837728703,-0.2,0.0,0.0,0.0,-1.570494235572534
550000000,-6.35011836678195,-19.020837837728703,-0.2,0.0,0.0,0.0,-1.570494235572534
560000000,-6.35011836678195,-19.020837837728703,-0.2,0.0,0.0,0.0,-1.570494235572534
570000000,-6.348957917096879,-19.0506843838221,-0.2,0.0,0.0,0.0,-1.570494235572534
580000000,-6.348957917096879,-19.0506843838221,-0.2,0.0,0.0,0.0,-1.570494235572534
590000000,-6.348957917096879,-19.0506843838221,-0.2,0.0,0.0,0.0,-1.570494235572534
600000000,-6.322556992510651,-19.07672615033343,-0.2,0.0,0.0,0.0,-1.570494235572534
610000000,-6.322556992510651,-19.07672615033343,-0.2,0.0,0.0,0.0,-1.570494235572534
620000000,-6.322556992510651,-19.07672615033343,-0.2,0.0,0.0,0.0,-1.570494235572534
630000000,-6.322556992510651,-19.07672615033343,-0.2,0.0,0.0,0.0,-1.570494235572534
640000000,-6.303210854222901,-19.102451689041864,-0.2,0.0,0.0,0.0,-1.570494235572534
650000000,-6.303210854222901,-19.102451689041864,-0.2,0.0,0.0,0.0,-1.570494235572534
660000000,-6.303210854222901,-19.102451689041864,-0.2,0.0,0.0,0.0,-1.570494235572534
670000000,-6.2830071320099,-19.128116569415592,-0.2,0.0,0.0,0.0,-1.570494235572534
680000000,-6.2830071320099,-19.128116569415592,-0.2,0.0,0.0,0.0,-1.570494235572534
690000000,-6.2830071320099,-19.128116569415592,-0.2,0.0,0.0,0.0,-1.570494235572534
700000000,-6.260708720500034,-19.154040833348578,-0.2,0.0,0.0,0.0,-1.570494235572534
710000000,-6.260708720500034,-19.154040833348578,-0.2,0.0,0.0,0.0,-1.570494235572534
720000000,-6.260708720500034,-19.154040833348578,-0.2,0.0,0.0,0.0,-1.570494235572534
730000000,-6.260708720500034,-19.154040833348578,-0.2,0.0,0.0,0.0,-1.570494235572534
740000000,-6.247640355766536,-19.17758451020471,-0.2,0.0,0.0,0.0,-1.570494235572534
750000000,-6.247640355766536,-19.17758451020471,-0.2,0.0,0.0,0.0,-1.570494235572534
760000000,-6.247640355766536,-19.17758451020471,-0.2,0.0,0.0,0.0,-1.570494235572534
770000000,-6.225432974193873,-19.195395878156067,-0.2,0.0,0.0,0.0,-1.570494235572534
780000000,-6.225432974193873,-19.195395878156067,-0.2,0.0,0.0,0.0,-1.570494235572534
790000000,-6.225432974193873,-19.195395878156067,-0.2,0.0,0.0,0.0,-1.570494235572534
800000000,-6.209638654470203,-19.210621061599014,-0.2,0.0,0.0,0.0,-1.570494235572534
810000000,-6.209638654470203,-19.210621061599014,-0.2,0.0,0.0,0.0,-1.570494235572534
820000000,-6.209638654470203,-19.210621061599014,-0.2,0.0,0.0,0.0,-1.570494235572534
830000000,-6.209638654470203,-19.210621061599014,-0.2,0.0,0.0,0.0,-1.570494235572534
840000000,-6.2011049868568335,-19.2299915188166,-0.2,0.0,0.0,0.0,-1.570494235572534
850000000,-6.2011049868568335,-19.2299915188166,-0.2,0.0,0.0,0.0,-1.570494235572534
860000000,-6.2011049868568335,-19.2299915188166,-0.2,0.0,0.0,0.0,-1.570494235572534
870000000,-6.1860794311101195,-19.254034724702905,-0.2,0.0,0.0,0.0,-1.570494235572534
880000000,-6.1860794311101195,-19.254034724702905,-0.2,0.0,0.0,0.0,-1.570494235572534
890000000,-6.1860794311101195,-19.254034724702905,-0.2,0.0,0.0,0.0,-1.570494235572534
900000000,-6.1607326802865625,-19.28427273699257,-0.2,0.0,0.0,0.0,-1.570494235572534
910000000,-6.1607326802865625,-19.28427273699257,-0.2,0.0,0.0,0.0,-1.570494235572534
920000000,-6.1607326802865625,-19.28427273699257,-0.2,0.0,0.0,0.0,-1.570494235572534
930000000,-6.1607326802865625,-19.28427273699257,-0.2,0.0,0.0,0.0,-1.570494235572534
940000000,-6.143860519587662,-19.29730201064508,-0.2,0.0,0.0,0.0,-1.570494235572534
950000000,-6.143860519587662,-19.29730201064508,-0.2,0.0,0.0,0.0,-1.570494235572534
960000000,-6.143860519587662,-19.29730201064508,-0.2,0.0,0.0,0.0,-1.570494235572534
970000000,-6.1149100622332515,-19.31235957863229,-0.2,0.0,0.0,0.0,-1.570494235572534
980000000,-6.1149100622332515,-19.31235957863229,-0.2,0.0,0.0,0.0,-1.570494235572534
990000000,-6.1149100622332515,-19.31235957863229,-0.2,0.0,0.0,0.0,-1.570494235572534
1000000000,-6.081073282304033,-19.33406787128763,-0.2,0.0,0.0,0.0,-1.570494235572534
